epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1405,1.22184,1.70467,1.54498,0.84992,0.89343,0.94945,0.58007,1.27159,1.35454,1.82689,0.000550165,0.000550165,0.000550165
2,85.3506,1.15017,1.02917,1.4369,0.85013,0.77502,0.87641,0.39909,1.61259,1.89105,2.40872,0.00108394,0.00108394,0.00108394
3,125.136,1.1835,0.88597,1.4691,0.84389,0.79556,0.83312,0.35515,2.06311,1.17207,2.70619,0.0015957,0.0015957,0.0015957
4,164.279,1.16734,0.78232,1.44866,0.77332,0.77675,0.86289,0.37045,1.75415,1.62044,2.32512,0.00156798,0.00156798,0.00156798
5,203.481,1.11829,0.67936,1.4121,0.52761,0.57246,0.48154,0.1983,2.24908,2.90105,3.4606,0.00153497,0.00153497,0.00153497
6,242.713,1.11866,0.64957,1.40971,0.85586,0.89423,0.97847,0.61653,1.27459,0.73026,1.7394,0.00150197,0.00150197,0.00150197
7,281.855,1.09571,0.63211,1.39046,0.94352,0.97942,0.98363,0.63806,1.28239,0.55021,1.71687,0.00146896,0.00146896,0.00146896
8,321.276,1.09089,0.60835,1.39701,0.96518,0.98047,0.99329,0.62882,1.32096,0.58341,1.73964,0.00143595,0.00143595,0.00143595
9,360.492,1.08501,0.59694,1.39156,0.9184,0.80683,0.97975,0.63016,1.23758,0.76,1.79887,0.00140295,0.00140295,0.00140295
10,399.761,1.0768,0.5905,1.38518,0.98994,0.99167,0.99497,0.65566,1.23188,0.51202,1.66374,0.00136994,0.00136994,0.00136994
11,438.981,1.07363,0.56525,1.37586,0.95192,0.94093,0.97111,0.60187,1.30341,0.72896,1.78005,0.00133693,0.00133693,0.00133693
12,478.166,1.064,0.56603,1.37416,0.99275,0.99714,0.99494,0.68133,1.17777,0.45711,1.61418,0.00130393,0.00130393,0.00130393
13,517.551,1.04221,0.54211,1.35001,0.90052,0.92985,0.98359,0.61996,1.29839,0.64653,1.75684,0.00127092,0.00127092,0.00127092
14,556.682,1.0497,0.53851,1.35878,0.98937,1,0.995,0.668,1.1981,0.45344,1.61836,0.00123791,0.00123791,0.00123791
15,595.796,1.03684,0.5368,1.34645,0.99364,0.99937,0.995,0.68189,1.15354,0.42876,1.59317,0.00120491,0.00120491,0.00120491
16,635.059,1.03559,0.52412,1.3456,0.98108,0.98893,0.99402,0.68463,1.13878,0.43577,1.60224,0.0011719,0.0011719,0.0011719
17,674.324,1.02514,0.51977,1.33587,0.99813,1,0.995,0.70426,1.09973,0.40887,1.56746,0.00113889,0.00113889,0.00113889
18,713.488,1.0156,0.51877,1.3411,0.99433,0.99337,0.99356,0.693,1.11447,0.44107,1.56993,0.00110589,0.00110589,0.00110589
19,752.772,1.00351,0.51073,1.331,0.99909,1,0.995,0.69316,1.12162,0.44628,1.57488,0.00107288,0.00107288,0.00107288
